restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
ea7f323f-5e72-4079-ac03-00ba921e6b3a,Sloan-Hayes,Chinese,"5191 Ward Drive
Marymouth, SC 37885",Jacob Bell,59,(948)698-0021,2.8,28,True
f95aa577-1c0b-4c15-bf82-69aaac0c58f3,Watson-Davies,American,"58098 King Loaf Apt. 121
Lake Deborahmouth, CA 78351",Luis Burns,53,001-344-452-8228x03313,3.54,167,False
c9a32ac9-3528-4425-8a4c-dd8a0e3e55f2,"Curry, Miller and Williams",Mexican,"Unit 9502 Box 6875
DPO AP 50862",Mary Lynch,39,001-358-488-7159x71355,2.62,64,False
b417e1b5-f190-4d08-be09-ce3b2d8d2d8f,Ho-Roberts,Italian,"099 Jones Mills
Copelandtown, NY 26251",Matthew Green,52,(524)530-3108x7988,2.97,10,False
647b56ce-abec-4ac9-8f26-5c31656b7999,Hayes-Brown,Italian,"601 Charles Overpass Suite 793
South Davidville, OH 29205",Joshua Garrison,49,+1-374-230-0694x57315,2.74,6,True
c9888536-ed95-456e-8974-afd6ec677089,Lopez-Hoover,Indian,"Unit 4845 Box 9568
DPO AE 28479",Patricia Rojas,52,001-596-266-2783,2.44,11,True
acae7721-3d8a-443a-9432-a3ea67043594,Sanders PLC,Mexican,"246 Tracy Crest Suite 146
Saraburgh, MA 65681",Heidi Villa,54,564-693-5610x3899,4.05,82,False
6f683d8f-212c-4677-bfb5-5d44a0b026f5,Fisher Inc,Chinese,"50035 Miller Row Apt. 432
Cathyberg, MD 83156",Ms. Angela Patterson,49,(226)264-5745x5175,1.79,120,False
3bf7ae12-1912-4934-a8e4-d9c850d8972c,Jones LLC,Chinese,"4282 Ford Motorway
West Brooke, TN 93712",Mr. Kyle Gonzalez MD,30,001-984-795-2912,1.25,126,False
64c20721-9688-4d06-8c92-58685f145274,Kennedy PLC,Italian,"77661 Davis Island Suite 545
North Wendy, GA 55809",Jason Carter,49,001-879-890-0475x0069,2.37,129,False
